"路線","卡號","票種","上車日期","上車時間","上車分鐘","上車站名","下車日期","下車時間","下車分鐘","下車站名"
44,"556638639","一般票",2016-01-01,"18:25",1105,"中央市場","2016/1/1","18:57:47",1137,"舊鹿鳴"
44,"1640438421","一般票",2016-01-01,"07:31",451,"台東","2016/1/1","09:06:12",546,"池上站"
44,"2AFB3481","學生票",2016-01-01,"07:38",458,"署東醫院","2016/1/1","07:56:18",476,"種蓄場"
44,"A2A41D03","敬老票",2016-01-01,"07:25",445,"台東","2016/1/1","09:04:54",544,"池上郵局"
44,"E2F4BA02","敬老票",2016-01-01,"08:15",495,"龍田","2016/1/1","08:44:43",524,"關山慈濟"
44,"E8EC40D6","學生票",2016-01-01,"08:31",511,"新豐","2016/1/1","08:39:44",519,"親水公園"
44,"02711C03","敬老票",2016-01-04,"18:23",1103,"中央市場","2016/1/4","19:08:52",1148,"鹿野鄉公所"
44,"13DF8DE9","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:59:42",1139,"四維"
44,"23848FE9","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:51:33",1131,"明峰"
44,"23E18DE9","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:58:00",1138,"舊鹿鳴"
44,"2480073843","學生票",2016-01-04,"18:51",1131,"明峰","2016/1/4","19:28:18",1168,"關山慈濟"
44,"33658FE9","學生票",2016-01-04,"18:26",1106,"署東醫院","2016/1/4","19:07:43",1147,"鹿野"
44,"3.38E+14","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:35:33",1115,"卑南農會"
44,"430A85E9","學生票",2016-01-04,"18:15",1095,"新生站","2016/1/4","19:03:21",1143,"湖底"
44,"43CA8EE9","學生票",2016-01-04,"18:23",1103,"中央市場","2016/1/4","18:47:44",1127,"東成"
44,"43CE8DE9","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:47:41",1127,"東成"
44,"5.30E+14","學生票",2016-01-04,"18:24",1104,"中央市場","2016/1/4","18:59:39",1139,"四維"
44,"61982392","一般票",2016-01-04,"18:23",1103,"中央市場","2016/1/4","19:20:48",1160,"景豐"
44,"63898FE9","學生票",2016-01-04,"18:15",1095,"新生站","2016/1/4","19:04:19",1144,"龍田"
44,"63CD84E9","學生票",2016-01-04,"18:30",1110,"四維路口","2016/1/4","19:02:13",1142,"湖底"
44,"83888EE9","學生票",2016-01-04,"18:28",1108,"變電所","2016/1/4","19:04:24",1144,"龍田"
44,"931A92E9","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:51:39",1131,"明峰"
44,"B36E8FE9","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:44:41",1124,"賓朗"
44,"B3BA8DE9","學生票",2016-01-04,"18:18",1098,"新生站","2016/1/4","19:07:48",1147,"鹿野"
44,"D36C8FE9","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","18:51:36",1131,"明峰"
44,"E39191E9","學生票",2016-01-04,"18:15",1095,"新生站","2016/1/4","18:52:29",1132,"初鹿"
44,"E8663CD6","學生票",2016-01-04,"18:26",1106,"署東醫院","2016/1/4","18:44:30",1124,"賓朗"
44,"E88C43D6","學生票",2016-01-04,"18:16",1096,"新生站","2016/1/4","19:04:21",1144,"龍田"
44,"E8C440D6","學生票",2016-01-04,"18:17",1097,"新生站","2016/1/4","18:52:27",1132,"初鹿"
44,"F39891E9","學生票",2016-01-04,"18:26",1106,"署東醫院","2016/1/4","18:52:22",1132,"初鹿"
44,"820FBA02","敬老票",2016-01-04,"08:12",492,"龍田","2016/1/4","08:18:22",498,"鹿野鄉公所"
44,"C2210C03","敬老票",2016-01-04,"08:33",513,"景豐","2016/1/4","08:43:40",523,"關山"
44,"D2861D03","敬老票",2016-01-04,"08:12",492,"龍田","2016/1/4","08:17:07",497,"鹿野"
44,"0FDE1328","一般票",2016-01-05,"18:23",1103,"中央市場","2016/1/5","19:22:06",1162,"景豐"
44,"13DF8DE9","學生票",2016-01-05,"18:17",1097,"新生站","2016/1/5","19:08:37",1148,"鹿野"
44,"13F284E9","學生票",2016-01-05,"18:16",1096,"新生站","2016/1/5","18:54:59",1134,"龍過脈"
44,"430A85E9","學生票",2016-01-05,"18:16",1096,"新生站","2016/1/5","18:30:02",1110,"四維路口"
44,"43CA8EE9","學生票",2016-01-05,"18:23",1103,"中央市場","2016/1/5","18:48:10",1128,"東成"
44,"43CE8DE9","學生票",2016-01-05,"18:17",1097,"新生站","2016/1/5","18:48:05",1128,"東成"
